"date_id","date","day_of_week","day_of_month","month","quarter","year"
1,"2020-01-01","Wednesday",1,1,1,2020
2,"2020-01-02","Thursday ",2,1,1,2020
3,"2020-01-03","Friday   ",3,1,1,2020
4,"2020-01-04","Saturday ",4,1,1,2020
5,"2020-01-05","Sunday   ",5,1,1,2020
6,"2020-01-06","Monday   ",6,1,1,2020
7,"2020-01-07","Tuesday  ",7,1,1,2020
8,"2020-01-08","Wednesday",8,1,1,2020
9,"2020-01-09","Thursday ",9,1,1,2020
10,"2020-01-10","Friday   ",10,1,1,2020
11,"2020-01-11","Saturday ",11,1,1,2020
12,"2020-01-12","Sunday   ",12,1,1,2020
13,"2020-01-13","Monday   ",13,1,1,2020
14,"2020-01-14","Tuesday  ",14,1,1,2020
15,"2020-01-15","Wednesday",15,1,1,2020
16,"2020-01-16","Thursday ",16,1,1,2020
17,"2020-01-17","Friday   ",17,1,1,2020
18,"2020-01-18","Saturday ",18,1,1,2020
19,"2020-01-19","Sunday   ",19,1,1,2020
20,"2020-01-20","Monday   ",20,1,1,2020
21,"2020-01-21","Tuesday  ",21,1,1,2020
22,"2020-01-22","Wednesday",22,1,1,2020
23,"2020-01-23","Thursday ",23,1,1,2020
24,"2020-01-24","Friday   ",24,1,1,2020
25,"2020-01-25","Saturday ",25,1,1,2020
26,"2020-01-26","Sunday   ",26,1,1,2020
27,"2020-01-27","Monday   ",27,1,1,2020
28,"2020-01-28","Tuesday  ",28,1,1,2020
29,"2020-01-29","Wednesday",29,1,1,2020
30,"2020-01-30","Thursday ",30,1,1,2020
31,"2020-01-31","Friday   ",31,1,1,2020
32,"2020-02-01","Saturday ",1,2,1,2020
33,"2020-02-02","Sunday   ",2,2,1,2020
34,"2020-02-03","Monday   ",3,2,1,2020
35,"2020-02-04","Tuesday  ",4,2,1,2020
36,"2020-02-05","Wednesday",5,2,1,2020
37,"2020-02-06","Thursday ",6,2,1,2020
38,"2020-02-07","Friday   ",7,2,1,2020
39,"2020-02-08","Saturday ",8,2,1,2020
40,"2020-02-09","Sunday   ",9,2,1,2020
41,"2020-02-10","Monday   ",10,2,1,2020
42,"2020-02-11","Tuesday  ",11,2,1,2020
43,"2020-02-12","Wednesday",12,2,1,2020
44,"2020-02-13","Thursday ",13,2,1,2020
45,"2020-02-14","Friday   ",14,2,1,2020
46,"2020-02-15","Saturday ",15,2,1,2020
47,"2020-02-16","Sunday   ",16,2,1,2020
48,"2020-02-17","Monday   ",17,2,1,2020
49,"2020-02-18","Tuesday  ",18,2,1,2020
50,"2020-02-19","Wednesday",19,2,1,2020
51,"2020-02-20","Thursday ",20,2,1,2020
52,"2020-02-21","Friday   ",21,2,1,2020
53,"2020-02-22","Saturday ",22,2,1,2020
54,"2020-02-23","Sunday   ",23,2,1,2020
55,"2020-02-24","Monday   ",24,2,1,2020
56,"2020-02-25","Tuesday  ",25,2,1,2020
57,"2020-02-26","Wednesday",26,2,1,2020
58,"2020-02-27","Thursday ",27,2,1,2020
59,"2020-02-28","Friday   ",28,2,1,2020
60,"2020-02-29","Saturday ",29,2,1,2020
61,"2020-03-01","Sunday   ",1,3,1,2020
62,"2020-03-02","Monday   ",2,3,1,2020
63,"2020-03-03","Tuesday  ",3,3,1,2020
64,"2020-03-04","Wednesday",4,3,1,2020
65,"2020-03-05","Thursday ",5,3,1,2020
66,"2020-03-06","Friday   ",6,3,1,2020
67,"2020-03-07","Saturday ",7,3,1,2020
68,"2020-03-08","Sunday   ",8,3,1,2020
69,"2020-03-09","Monday   ",9,3,1,2020
70,"2020-03-10","Tuesday  ",10,3,1,2020
71,"2020-03-11","Wednesday",11,3,1,2020
72,"2020-03-12","Thursday ",12,3,1,2020
73,"2020-03-13","Friday   ",13,3,1,2020
74,"2020-03-14","Saturday ",14,3,1,2020
75,"2020-03-15","Sunday   ",15,3,1,2020
76,"2020-03-16","Monday   ",16,3,1,2020
77,"2020-03-17","Tuesday  ",17,3,1,2020
78,"2020-03-18","Wednesday",18,3,1,2020
79,"2020-03-19","Thursday ",19,3,1,2020
80,"2020-03-20","Friday   ",20,3,1,2020
81,"2020-03-21","Saturday ",21,3,1,2020
82,"2020-03-22","Sunday   ",22,3,1,2020
83,"2020-03-23","Monday   ",23,3,1,2020
84,"2020-03-24","Tuesday  ",24,3,1,2020
85,"2020-03-25","Wednesday",25,3,1,2020
86,"2020-03-26","Thursday ",26,3,1,2020
87,"2020-03-27","Friday   ",27,3,1,2020
88,"2020-03-28","Saturday ",28,3,1,2020
89,"2020-03-29","Sunday   ",29,3,1,2020
90,"2020-03-30","Monday   ",30,3,1,2020
91,"2020-03-31","Tuesday  ",31,3,1,2020
92,"2020-04-01","Wednesday",1,4,2,2020
93,"2020-04-02","Thursday ",2,4,2,2020
94,"2020-04-03","Friday   ",3,4,2,2020
95,"2020-04-04","Saturday ",4,4,2,2020
96,"2020-04-05","Sunday   ",5,4,2,2020
97,"2020-04-06","Monday   ",6,4,2,2020
98,"2020-04-07","Tuesday  ",7,4,2,2020
99,"2020-04-08","Wednesday",8,4,2,2020
100,"2020-04-09","Thursday ",9,4,2,2020
101,"2020-04-10","Friday   ",10,4,2,2020
102,"2020-04-11","Saturday ",11,4,2,2020
103,"2020-04-12","Sunday   ",12,4,2,2020
104,"2020-04-13","Monday   ",13,4,2,2020
105,"2020-04-14","Tuesday  ",14,4,2,2020
106,"2020-04-15","Wednesday",15,4,2,2020
107,"2020-04-16","Thursday ",16,4,2,2020
108,"2020-04-17","Friday   ",17,4,2,2020
109,"2020-04-18","Saturday ",18,4,2,2020
110,"2020-04-19","Sunday   ",19,4,2,2020
111,"2020-04-20","Monday   ",20,4,2,2020
112,"2020-04-21","Tuesday  ",21,4,2,2020
113,"2020-04-22","Wednesday",22,4,2,2020
114,"2020-04-23","Thursday ",23,4,2,2020
115,"2020-04-24","Friday   ",24,4,2,2020
116,"2020-04-25","Saturday ",25,4,2,2020
117,"2020-04-26","Sunday   ",26,4,2,2020
118,"2020-04-27","Monday   ",27,4,2,2020
119,"2020-04-28","Tuesday  ",28,4,2,2020
120,"2020-04-29","Wednesday",29,4,2,2020
121,"2020-04-30","Thursday ",30,4,2,2020
122,"2020-05-01","Friday   ",1,5,2,2020
123,"2020-05-02","Saturday ",2,5,2,2020
124,"2020-05-03","Sunday   ",3,5,2,2020
125,"2020-05-04","Monday   ",4,5,2,2020
126,"2020-05-05","Tuesday  ",5,5,2,2020
127,"2020-05-06","Wednesday",6,5,2,2020
128,"2020-05-07","Thursday ",7,5,2,2020
129,"2020-05-08","Friday   ",8,5,2,2020
130,"2020-05-09","Saturday ",9,5,2,2020
131,"2020-05-10","Sunday   ",10,5,2,2020
132,"2020-05-11","Monday   ",11,5,2,2020
133,"2020-05-12","Tuesday  ",12,5,2,2020
134,"2020-05-13","Wednesday",13,5,2,2020
135,"2020-05-14","Thursday ",14,5,2,2020
136,"2020-05-15","Friday   ",15,5,2,2020
137,"2020-05-16","Saturday ",16,5,2,2020
138,"2020-05-17","Sunday   ",17,5,2,2020
139,"2020-05-18","Monday   ",18,5,2,2020
140,"2020-05-19","Tuesday  ",19,5,2,2020
141,"2020-05-20","Wednesday",20,5,2,2020
142,"2020-05-21","Thursday ",21,5,2,2020
143,"2020-05-22","Friday   ",22,5,2,2020
144,"2020-05-23","Saturday ",23,5,2,2020
145,"2020-05-24","Sunday   ",24,5,2,2020
146,"2020-05-25","Monday   ",25,5,2,2020
147,"2020-05-26","Tuesday  ",26,5,2,2020
148,"2020-05-27","Wednesday",27,5,2,2020
149,"2020-05-28","Thursday ",28,5,2,2020
150,"2020-05-29","Friday   ",29,5,2,2020
151,"2020-05-30","Saturday ",30,5,2,2020
152,"2020-05-31","Sunday   ",31,5,2,2020
153,"2020-06-01","Monday   ",1,6,2,2020
154,"2020-06-02","Tuesday  ",2,6,2,2020
155,"2020-06-03","Wednesday",3,6,2,2020
156,"2020-06-04","Thursday ",4,6,2,2020
157,"2020-06-05","Friday   ",5,6,2,2020
158,"2020-06-06","Saturday ",6,6,2,2020
159,"2020-06-07","Sunday   ",7,6,2,2020
160,"2020-06-08","Monday   ",8,6,2,2020
161,"2020-06-09","Tuesday  ",9,6,2,2020
162,"2020-06-10","Wednesday",10,6,2,2020
163,"2020-06-11","Thursday ",11,6,2,2020
164,"2020-06-12","Friday   ",12,6,2,2020
165,"2020-06-13","Saturday ",13,6,2,2020
166,"2020-06-14","Sunday   ",14,6,2,2020
167,"2020-06-15","Monday   ",15,6,2,2020
168,"2020-06-16","Tuesday  ",16,6,2,2020
169,"2020-06-17","Wednesday",17,6,2,2020
170,"2020-06-18","Thursday ",18,6,2,2020
171,"2020-06-19","Friday   ",19,6,2,2020
172,"2020-06-20","Saturday ",20,6,2,2020
173,"2020-06-21","Sunday   ",21,6,2,2020
174,"2020-06-22","Monday   ",22,6,2,2020
175,"2020-06-23","Tuesday  ",23,6,2,2020
176,"2020-06-24","Wednesday",24,6,2,2020
177,"2020-06-25","Thursday ",25,6,2,2020
178,"2020-06-26","Friday   ",26,6,2,2020
179,"2020-06-27","Saturday ",27,6,2,2020
180,"2020-06-28","Sunday   ",28,6,2,2020
181,"2020-06-29","Monday   ",29,6,2,2020
182,"2020-06-30","Tuesday  ",30,6,2,2020
183,"2020-07-01","Wednesday",1,7,3,2020
184,"2020-07-02","Thursday ",2,7,3,2020
185,"2020-07-03","Friday   ",3,7,3,2020
186,"2020-07-04","Saturday ",4,7,3,2020
187,"2020-07-05","Sunday   ",5,7,3,2020
188,"2020-07-06","Monday   ",6,7,3,2020
189,"2020-07-07","Tuesday  ",7,7,3,2020
190,"2020-07-08","Wednesday",8,7,3,2020
191,"2020-07-09","Thursday ",9,7,3,2020
192,"2020-07-10","Friday   ",10,7,3,2020
193,"2020-07-11","Saturday ",11,7,3,2020
194,"2020-07-12","Sunday   ",12,7,3,2020
195,"2020-07-13","Monday   ",13,7,3,2020
196,"2020-07-14","Tuesday  ",14,7,3,2020
197,"2020-07-15","Wednesday",15,7,3,2020
198,"2020-07-16","Thursday ",16,7,3,2020
199,"2020-07-17","Friday   ",17,7,3,2020
200,"2020-07-18","Saturday ",18,7,3,2020
201,"2020-07-19","Sunday   ",19,7,3,2020
202,"2020-07-20","Monday   ",20,7,3,2020
203,"2020-07-21","Tuesday  ",21,7,3,2020
204,"2020-07-22","Wednesday",22,7,3,2020
205,"2020-07-23","Thursday ",23,7,3,2020
206,"2020-07-24","Friday   ",24,7,3,2020
207,"2020-07-25","Saturday ",25,7,3,2020
208,"2020-07-26","Sunday   ",26,7,3,2020
209,"2020-07-27","Monday   ",27,7,3,2020
210,"2020-07-28","Tuesday  ",28,7,3,2020
211,"2020-07-29","Wednesday",29,7,3,2020
212,"2020-07-30","Thursday ",30,7,3,2020
213,"2020-07-31","Friday   ",31,7,3,2020
214,"2020-08-01","Saturday ",1,8,3,2020
215,"2020-08-02","Sunday   ",2,8,3,2020
216,"2020-08-03","Monday   ",3,8,3,2020
217,"2020-08-04","Tuesday  ",4,8,3,2020
218,"2020-08-05","Wednesday",5,8,3,2020
